informal_stmt,formal_stmt,header,proof_state,mathlib_dependencies,hard_dependencies,source,problem_name,full_name,problem_type,split
Show that $ \int_{-\infty}^{\infty} \frac{\cos x}{x^2 + a^2} dx = \pi \frac{e^{-a}}{a}$ for $a > 0$.,"theorem exercise_3_3 (a : ℝ) (ha : 0 < a) :
    Tendsto (λ y => ∫ x in -y..y, Real.cos x / (x ^ 2 + a ^ 2))
    atTop (𝓝 (Real.pi * (Real.exp (-a) / a))) :=
sorry","import Mathlib

open Complex Filter Function Metric Finset
open scoped BigOperators Topology


","a : ℝ
ha : 0 < a
⊢ Filter.Tendsto (fun y ↦ ∫ (x : ℝ) in -y..y, Real.cos x / (x ^ 2 + a ^ 2)) Filter.atTop (𝓝 (Real.pi * (Real.exp (-a) / a)))","['Filter.Tendsto', 'Real.cos', 'Filter.atTop', 'Real.pi', 'Real.exp']",[],Shakarchi,exercise_3_3,Shakarchi.exercise_3_3,proof,test
Show that $ \int_{-\infty}^{\infty} \frac{x \sin x}{x^2 + a^2} dx = \pi e^{-a}$ for $a > 0$.,"theorem exercise_3_4 (a : ℝ) (ha : 0 < a) :
    Tendsto (λ y => ∫ x in -y..y, x * Real.sin x / (x ^ 2 + a ^ 2))
    atTop (𝓝 (Real.pi * (Real.exp (-a)))) :=
sorry","import Mathlib

open Complex Filter Function Metric Finset
open scoped BigOperators Topology


","a : ℝ
ha : 0 < a
⊢ Filter.Tendsto (fun y ↦ ∫ (x : ℝ) in -y..y, x * Real.sin x / (x ^ 2 + a ^ 2)) Filter.atTop (𝓝 (Real.pi * Real.exp (-a)))","['Filter.Tendsto', 'Real.sin', 'Filter.atTop', 'Real.pi', 'Real.exp']",[],Shakarchi,exercise_3_4,Shakarchi.exercise_3_4,proof,test
Show that $\int_0^1 \log(\sin \pi x) dx = - \log 2$.,"theorem exercise_3_9 : ∫ x in (0 : ℝ)..(1 : ℝ), Real.log (Real.sin (Real.pi * x)) = - Real.log 2 :=
sorry","import Mathlib

open Complex Filter Function Metric Finset
open scoped BigOperators Topology


","⊢ ∫ (x : ℝ) in 0 ..1, Real.log (Real.sin (Real.pi * x)) = -Real.log 2","['Real.log', 'Real.sin', 'Real.pi']",[],Shakarchi,exercise_3_9,Shakarchi.exercise_3_9,proof,test
"Prove that all entire functions that are also injective take the form $f(z) = az + b$, $a, b \in \mathbb{C}$ and $a \neq 0$.","theorem exercise_3_14 {f : ℂ → ℂ} (hf : Differentiable ℂ f)
    (hf_inj : Function.Injective f) :
    ∃ (a b : ℂ), f = (λ z => a * z + b) ∧ a ≠ 0 :=
sorry","import Mathlib

open Complex Filter Function Metric Finset
open scoped BigOperators Topology


","f : ℂ → ℂ
hf : Differentiable ℂ f
hf_inj : Function.Injective f
⊢ ∃ a b, (f = fun z ↦ a * z + b) ∧ a ≠ 0","['Differentiable', 'Function.Injective']",[],Shakarchi,exercise_3_14,Shakarchi.exercise_3_14,proof,test
Show that there is no holomorphic function $f$ in the unit disc $D$ that extends continuously to $\partial D$ such that $f(z) = 1/z$ for $z \in \partial D$.,"theorem exercise_3_22 (D : Set ℂ) (hD : D = ball 0 1) (f : ℂ → ℂ)
    (hf : DifferentiableOn ℂ f D) (hfc : ContinuousOn f (closure D)) :
    ¬ ∀ z ∈ (sphere (0 : ℂ) 1), f z = 1 / z :=
sorry","import Mathlib

open Complex Filter Function Metric Finset
open scoped BigOperators Topology


","D : Set ℂ
hD : D = Metric.ball 0 1
f : ℂ → ℂ
hf : DifferentiableOn ℂ f D
hfc : ContinuousOn f (closure D)
⊢ ¬∀ z ∈ Metric.sphere 0 1, f z = 1 / z","['Set', 'Metric.ball', 'DifferentiableOn', 'ContinuousOn', 'closure', 'Metric.sphere']",[],Shakarchi,exercise_3_22,Shakarchi.exercise_3_22,proof,test
"Prove that if $f$ is holomorphic in the unit disc, bounded and not identically zero, and $z_{1}, z_{2}, \ldots, z_{n}, \ldots$ are its zeros $\left(\left|z_{k}\right|<1\right)$, then $\sum_{n}\left(1-\left|z_{n}\right|\right)<\infty$.","theorem exercise_5_1 (f : ℂ → ℂ) (hf : DifferentiableOn ℂ f (ball 0 1))
  (hb : Bornology.IsBounded (Set.range f)) (h0 : f ≠ 0) (zeros : ℕ → ℂ) (hz : ∀ n, f (zeros n) = 0)
  (hzz : Set.range zeros = {z | f z = 0 ∧ z ∈ (ball (0 : ℂ) 1)}) :
  ∃ (z : ℂ), Tendsto (λ n => (∑ i in range n, (1 - zeros i))) atTop (𝓝 z) :=
sorry","import Mathlib

open Complex Filter Function Metric Finset
open scoped BigOperators Topology


","f : ℂ → ℂ
hf : DifferentiableOn ℂ f (Metric.ball 0 1)
hb : Bornology.IsBounded (Set.range f)
h0 : f ≠ 0
zeros : ℕ → ℂ
hz : ∀ (n : ℕ), f (zeros n) = 0
hzz : Set.range zeros = {z | f z = 0 ∧ z ∈ Metric.ball 0 1}
⊢ ∃ z, Filter.Tendsto (fun n ↦ ∑ i in Finset.range n, (1 - zeros i)) Filter.atTop (𝓝 z)","['DifferentiableOn', 'Metric.ball', 'Bornology.IsBounded', 'Set.range', 'Filter.Tendsto', 'Finset.range', 'Filter.atTop']",[],Shakarchi,exercise_5_1,Shakarchi.exercise_5_1,proof,test
For all odd $n$ show that $8 \mid n^{2}-1$.,"theorem exercise_1_27 {n : ℕ} (hn : Odd n) : 8 ∣ (n^2 - 1) :=
sorry","import Mathlib

open Real
open scoped BigOperators
noncomputable section


","n : ℕ
hn : Odd n
⊢ 8 ∣ n ^ 2 - 1",['Odd'],[],Ireland-Rosen,exercise_1_27,Ireland-Rosen.exercise_1_27,proof,test
Prove that $\frac{1}{2}+\frac{1}{3}+\cdots+\frac{1}{n}$ is not an integer.,"theorem exercise_1_30 {n : ℕ} :
  ¬ ∃ a : ℤ, ∑ i : Fin n, (1 : ℚ) / (n+2) = a :=
sorry","import Mathlib

open Real
open scoped BigOperators
noncomputable section


","n : ℕ
⊢ ¬∃ a, ∑ i : Fin n, 1 / (↑n + 2) = ↑a",['Fin'],[],Ireland-Rosen,exercise_1_30,Ireland-Rosen.exercise_1_30,proof,test
Show that 2 is divisible by $(1+i)^{2}$ in $\mathbb{Z}[i]$.,"theorem exercise_1_31  : (⟨1, 1⟩ : GaussianInt) ^ 2 ∣ 2 :=
sorry","import Mathlib

open Real
open scoped BigOperators
noncomputable section


","⊢ { re := 1, im := 1 } ^ 2 ∣ 2",[],[],Ireland-Rosen,exercise_1_31,Ireland-Rosen.exercise_1_31,proof,test
"If $a$ is a nonzero integer, then for $n>m$ show that $\left(a^{2^{n}}+1, a^{2^{m}}+1\right)=1$ or 2 depending on whether $a$ is odd or even.","theorem exercise_2_4 {a : ℤ} (ha : a ≠ 0)
  (f_a := λ n m : ℕ => Int.gcd (a^(2^n) + 1) (a^(2^m)+1)) {n m : ℕ}
  (hnm : n > m) :
  (Odd a → f_a n m = 1) ∧ (Even a → f_a n m = 2) :=
sorry","import Mathlib

open Real
open scoped BigOperators
noncomputable section


","a : ℤ
ha : a ≠ 0
f_a : optParam (ℕ → ℕ → ℕ) fun n m ↦ Int.gcd (a ^ 2 ^ n + 1) (a ^ 2 ^ m + 1)
n, m : ℕ
hnm : n > m
⊢ (Odd a → f_a n m = 1) ∧ (Even a → f_a n m = 2)","['optParam', 'Int.gcd', 'Odd', 'Even']",[],Ireland-Rosen,exercise_2_4,Ireland-Rosen.exercise_2_4,proof,test
Define $\wedge(n)=\log p$ if $n$ is a power of $p$ and zero otherwise. Prove that $\sum_{A \mid n} \mu(n / d) \log d$ $=\wedge(n)$.,"theorem exercise_2_21 {l : ℕ → ℝ}
  (hl : ∀ p n : ℕ, p.Prime → l (p^n) = log p )
  (hl1 : ∀ m : ℕ, ¬ IsPrimePow m → l m = 0) :
  l = λ n => ∑ d : Nat.divisors n, ArithmeticFunction.moebius (n/d) * log d  :=
sorry","import Mathlib

open Real
open scoped BigOperators
noncomputable section


","l : ℕ → ℝ
hl : ∀ (p n : ℕ), Nat.Prime p → l (p ^ n) = Real.log ↑p
hl1 : ∀ (m : ℕ), ¬IsPrimePow m → l m = 0
⊢ l = fun n ↦ ∑ d : { x // x ∈ Nat.divisors n }, ↑(ArithmeticFunction.moebius (n / ↑d)) * Real.log ↑↑d","['Nat.Prime', 'Real.log', 'IsPrimePow', 'Nat.divisors', 'ArithmeticFunction.moebius']",[],Ireland-Rosen,exercise_2_21,Ireland-Rosen.exercise_2_21,proof,test
"Show that $\sum^{\prime} 1 / n$, the sum being over square free integers, diverges.","theorem exercise_2_27a :
  ¬ Summable (λ i : {p : ℤ // Squarefree p} => (1 : ℚ) / i) :=
sorry","import Mathlib

open Real
open scoped BigOperators
noncomputable section


",⊢ ¬Summable fun i ↦ 1 / ↑↑i,['Summable'],[],Ireland-Rosen,exercise_2_27a,Ireland-Rosen.exercise_2_27a,proof,test
Show that there are infinitely many primes congruent to $-1$ modulo 6 .,"theorem exercise_3_1 : Infinite {p : Nat.Primes // p ≡ -1 [ZMOD 6]} :=
sorry","import Mathlib

open Real
open scoped BigOperators
noncomputable section


",⊢ Infinite { p // ↑↑p ≡ -1 [ZMOD 6] },['Infinite'],[],Ireland-Rosen,exercise_3_1,Ireland-Rosen.exercise_3_1,proof,test
Show that the equation $3 x^{2}+2=y^{2}$ has no solution in integers.,"theorem exercise_3_4 : ¬ ∃ x y : ℤ, 3*x^2 + 2 = y^2 :=
sorry","import Mathlib

open Real
open scoped BigOperators
noncomputable section


","⊢ ¬∃ x y, 3 * x ^ 2 + 2 = y ^ 2",[],[],Ireland-Rosen,exercise_3_4,Ireland-Rosen.exercise_3_4,proof,test
Show that the equation $7 x^{3}+2=y^{3}$ has no solution in integers.,"theorem exercise_3_5 : ¬ ∃ x y : ℤ, 7*x^3 + 2 = y^3 :=
sorry","import Mathlib

open Real
open scoped BigOperators
noncomputable section


","⊢ ¬∃ x y, 7 * x ^ 3 + 2 = y ^ 3",[],[],Ireland-Rosen,exercise_3_5,Ireland-Rosen.exercise_3_5,proof,test
"If $n$ is not a prime, show that $(n-1) ! \equiv 0(n)$, except when $n=4$.","theorem exercise_3_10 {n : ℕ} (hn0 : ¬ n.Prime) (hn1 : n ≠ 4) :
  Nat.factorial (n-1) ≡ 0 [MOD n] :=
sorry","import Mathlib

open Real
open scoped BigOperators
noncomputable section


","n : ℕ
hn0 : ¬Nat.Prime n
hn1 : n ≠ 4
⊢ Nat.factorial (n - 1) ≡ 0 [MOD n]","['Nat.Prime', 'Nat.factorial']",[],Ireland-Rosen,exercise_3_10,Ireland-Rosen.exercise_3_10,proof,test
"Let $p$ and $q$ be distinct odd primes such that $p-1$ divides $q-1$. If $(n, p q)=1$, show that $n^{q-1} \equiv 1(p q)$.","theorem exercise_3_14 {p q n : ℕ} (hp0 : p.Prime ∧ p > 2)
  (hq0 : q.Prime ∧ q > 2) (hpq0 : p ≠ q) (hpq1 : p - 1 ∣ q - 1)
  (hn : n.gcd (p*q) = 1) :
  n^(q-1) ≡ 1 [MOD p*q] :=
sorry","import Mathlib

open Real
open scoped BigOperators
noncomputable section


","p, q, n : ℕ
hp0 : Nat.Prime p ∧ p > 2
hq0 : Nat.Prime q ∧ q > 2
hpq0 : p ≠ q
hpq1 : p - 1 ∣ q - 1
hn : Nat.gcd n (p * q) = 1
⊢ n ^ (q - 1) ≡ 1 [MOD p * q]","['Nat.Prime', 'Nat.gcd']",[],Ireland-Rosen,exercise_3_14,Ireland-Rosen.exercise_3_14,proof,test
Consider a prime $p$ of the form $4 t+1$. Show that $a$ is a primitive root modulo $p$ iff $-a$ is a primitive root modulo $p$.,"theorem exercise_4_4 {p t: ℕ} (hp0 : p.Prime) (hp1 : p = 4*t + 1)
  (a : ZMod p) :
  IsPrimitiveRoot a p ↔ IsPrimitiveRoot (-a) p :=
sorry","import Mathlib

open Real
open scoped BigOperators
noncomputable section


","p, t : ℕ
hp0 : Nat.Prime p
hp1 : p = 4 * t + 1
a : ZMod p
⊢ IsPrimitiveRoot a p ↔ IsPrimitiveRoot (-a) p","['Nat.Prime', 'ZMod', 'IsPrimitiveRoot']",[],Ireland-Rosen,exercise_4_4,Ireland-Rosen.exercise_4_4,proof,test
Consider a prime $p$ of the form $4 t+3$. Show that $a$ is a primitive root modulo $p$ iff $-a$ has order $(p-1) / 2$.,"theorem exercise_4_5 {p t : ℕ} (hp0 : p.Prime) (hp1 : p = 4*t + 3)
  (a : ZMod p) :
  IsPrimitiveRoot a p ↔ ((-a) ^ ((p-1)/2) = 1 ∧ ∀ (k : ℕ), k < (p-1)/2 → (-a)^k ≠ 1) :=
sorry","import Mathlib

open Real
open scoped BigOperators
noncomputable section


","p, t : ℕ
hp0 : Nat.Prime p
hp1 : p = 4 * t + 3
a : ZMod p
⊢ IsPrimitiveRoot a p ↔ (-a) ^ ((p - 1) / 2) = 1 ∧ ∀ k < (p - 1) / 2, (-a) ^ k ≠ 1","['Nat.Prime', 'ZMod', 'IsPrimitiveRoot']",[],Ireland-Rosen,exercise_4_5,Ireland-Rosen.exercise_4_5,proof,test
"If $p=2^{n}+1$ is a Fermat prime, show that 3 is a primitive root modulo $p$.","theorem exercise_4_6 {p n : ℕ} (hp : p.Prime) (hpn : p = 2^n + 1) :
  IsPrimitiveRoot 3 p :=
sorry","import Mathlib

open Real
open scoped BigOperators
noncomputable section


","p, n : ℕ
hp : Nat.Prime p
hpn : p = 2 ^ n + 1
⊢ IsPrimitiveRoot 3 p","['Nat.Prime', 'IsPrimitiveRoot']",[],Ireland-Rosen,exercise_4_6,Ireland-Rosen.exercise_4_6,proof,test
Let $p$ be an odd prime. Show that $a$ is a primitive root modulo $p$ iff $a^{(p-1) / q} \not \equiv 1(p)$ for all prime divisors $q$ of $p-1$.,"theorem exercise_4_8 {p a : ℕ} (hp : Odd p) :
  IsPrimitiveRoot a p ↔ (∀ q : ℕ, q ∣ (p-1) → q.Prime → ¬ a^(p-1) ≡ 1 [MOD p]) :=
sorry","import Mathlib

open Real
open scoped BigOperators
noncomputable section


","p, a : ℕ
hp : Odd p
⊢ IsPrimitiveRoot a p ↔ ∀ (q : ℕ), q ∣ p - 1 → Nat.Prime q → ¬a ^ (p - 1) ≡ 1 [MOD p]","['Odd', 'IsPrimitiveRoot', 'Nat.Prime']",[],Ireland-Rosen,exercise_4_8,Ireland-Rosen.exercise_4_8,proof,test
Prove that $1^{k}+2^{k}+\cdots+(p-1)^{k} \equiv 0(p)$ if $p-1 \nmid k$ and $-1(p)$ if $p-1 \mid k$.,"theorem exercise_4_11 {p : ℕ} (hp : p.Prime) (k s: ℕ)
  (s := ∑ n : Fin p, (n : ℕ) ^ k) :
  ((¬ p - 1 ∣ k) → s ≡ 0 [MOD p]) ∧ (p - 1 ∣ k → s ≡ 0 [MOD p]) :=
sorry","import Mathlib

open Real
open scoped BigOperators
noncomputable section


","p : ℕ
hp : Nat.Prime p
k, s✝ : ℕ
s : optParam ℕ (∑ n : Fin p, ↑n ^ k)
⊢ (¬p - 1 ∣ k → s ≡ 0 [MOD p]) ∧ (p - 1 ∣ k → s ≡ 0 [MOD p])","['Nat.Prime', 'optParam', 'Fin']",[],Ireland-Rosen,exercise_4_11,Ireland-Rosen.exercise_4_11,proof,test
Show that any prime divisor of $x^{4}-x^{2}+1$ is congruent to 1 modulo 12 .,"theorem exercise_5_13 {p x: ℤ} (hp : Prime p)
  (hpx : p ∣ (x^4 - x^2 + 1)) : p ≡ 1 [ZMOD 12] :=
sorry","import Mathlib

open Real
open scoped BigOperators
noncomputable section


","p, x : ℤ
hp : Prime p
hpx : p ∣ x ^ 4 - x ^ 2 + 1
⊢ p ≡ 1 [ZMOD 12]",['Prime'],[],Ireland-Rosen,exercise_5_13,Ireland-Rosen.exercise_5_13,proof,test
Show that $x^{4} \equiv 2(p)$ has a solution for $p \equiv 1(4)$ iff $p$ is of the form $A^{2}+64 B^{2}$.,"theorem exercise_5_28 {p : ℕ} (hp : p.Prime) (hp1 : p ≡ 1 [MOD 4]):
  ∃ x, x^4 ≡ 2 [MOD p] ↔ ∃ A B, p = A^2 + 64*B^2 :=
sorry","import Mathlib

open Real
open scoped BigOperators
noncomputable section


","p : ℕ
hp : Nat.Prime p
hp1 : p ≡ 1 [MOD 4]
⊢ ∃ x, x ^ 4 ≡ 2 [MOD p] ↔ ∃ A B, p = A ^ 2 + 64 * B ^ 2",['Nat.Prime'],[],Ireland-Rosen,exercise_5_28,Ireland-Rosen.exercise_5_28,proof,test
Show that if $a$ is negative then $p \equiv q(4 a) together with p\not | a$ imply $(a / p)=(a / q)$.,"theorem exercise_5_37 {p q : ℕ} [Fact (p.Prime)] [Fact (q.Prime)] {a : ℤ}
  (ha : a < 0) (h0 : p ≡ q [ZMOD 4*a]) (h1 : ¬ ((p : ℤ) ∣ a)) :
  legendreSym p a = legendreSym q a :=
sorry","import Mathlib

open Real
open scoped BigOperators
noncomputable section


","p, q : ℕ
inst✝¹ : Fact (Nat.Prime p)
inst✝ : Fact (Nat.Prime q)
a : ℤ
ha : a < 0
h0 : ↑p ≡ ↑q [ZMOD 4 * a]
h1 : ¬↑p ∣ a
⊢ legendreSym p a = legendreSym q a","['Fact', 'Nat.Prime', 'legendreSym']",[],Ireland-Rosen,exercise_5_37,Ireland-Rosen.exercise_5_37,proof,test
Show that $\sin (\pi / 12)$ is an algebraic number.,"theorem exercise_12_12 : IsAlgebraic ℚ (sin (pi/12)) :=
sorry","import Mathlib

open Real
open scoped BigOperators
noncomputable section


","pi : ℝ
⊢ IsAlgebraic ℚ (Real.sin (pi / 12))","['IsAlgebraic', 'Real.sin']",[],Ireland-Rosen,exercise_12_12,Ireland-Rosen.exercise_12_12,proof,test
Show that 1729 is the smallest positive integer expressible as the sum of two different integral cubes in two ways.,"theorem exercise_18_4 {n : ℕ} (hn : ∃ x y z w : ℤ,
  x^3 + y^3 = n ∧ z^3 + w^3 = n ∧ x ≠ z ∧ x ≠ w ∧ y ≠ z ∧ y ≠ w) :
  n ≥ 1729 :=
sorry","import Mathlib

open Real
open scoped BigOperators
noncomputable section


","n : ℕ
hn : ∃ x y z w, x ^ 3 + y ^ 3 = ↑n ∧ z ^ 3 + w ^ 3 = ↑n ∧ x ≠ z ∧ x ≠ w ∧ y ≠ z ∧ y ≠ w
⊢ n ≥ 1729",[],[],Ireland-Rosen,exercise_18_4,Ireland-Rosen.exercise_18_4,proof,test
